Round,Train Loss,Train Accuracy,Eval Loss,Eval Accuracy
2025-07-27 22:33:25,server,SendActivations,12.681870460510254,4269.2578125,3072.140625
2025-07-27 22:33:25,server,SendActivations,7.2210564613342285,4298.27734375,3072.140625
2025-07-27 22:33:26,server,SendActivations,5.179883003234863,4662.234375,3072.140625
2025-07-27 22:33:27,server,SendActivations,4.704141616821289,4696.66796875,3072.140625
2025-07-27 22:33:28,server,SendActivations,4.794312477111816,4708.16015625,3072.140625
2025-07-27 22:33:29,server,SendActivations,3.2716572284698486,4637.98046875,3072.140625
2025-07-27 22:33:29,server,SendActivations,3.389026641845703,4499.91796875,3072.140625
2025-07-27 22:33:32,server,SendActivations,4.751246452331543,4501.8671875,3072.140625
2025-07-27 22:33:32,server,SendActivations,3.931472063064575,4501.8671875,3072.140625
2025-07-27 22:33:33,server,SendActivations,5.046309947967529,4495.83984375,3072.140625
2025-07-27 22:33:54,server,SendActivations,4.434760093688965,4675.015625,3072.140625
2025-07-27 22:33:55,server,SendActivations,3.9183437824249268,4639.7890625,3072.140625
2025-07-27 22:33:56,server,SendActivations,2.9646542072296143,4665.296875,3072.140625
2025-07-27 22:33:56,server,SendActivations,2.959728717803955,4738.078125,3072.140625
2025-07-27 22:33:57,server,SendActivations,3.4778265953063965,4703.734375,3072.140625
2025-07-27 22:33:58,server,SendActivations,3.0019209384918213,4717.5859375,3072.140625
2025-07-27 22:33:59,server,SendActivations,4.310222387313843,4727.9296875,3072.140625
2025-07-27 22:34:00,server,SendActivations,4.342549800872803,4729.5078125,3072.140625
2025-07-27 22:34:01,server,SendActivations,4.4629225730896,4729.58984375,3072.140625
2025-07-27 22:34:03,server,SendActivations,6.008639097213745,4705.5859375,3072.140625
2025-07-27 22:34:23,server,SendActivations,4.613701343536377,4697.91796875,3072.140625
2025-07-27 22:34:27,server,SendActivations,5.460970401763916,4729.30078125,3072.140625
2025-07-27 22:34:27,server,SendActivations,3.5248007774353027,4729.7734375,3072.140625
2025-07-27 22:34:28,server,SendActivations,4.47227144241333,4708.1796875,3072.140625
2025-07-27 22:34:28,server,SendActivations,4.997207880020142,4708.375,3072.140625
2025-07-27 22:34:29,server,SendActivations,4.2150537967681885,4708.46484375,3072.140625
2025-07-27 22:34:31,server,SendActivations,3.9152417182922363,4647.4140625,3072.140625
2025-07-27 22:34:32,server,SendActivations,4.058953762054443,4650.6484375,3072.140625
2025-07-27 22:34:33,server,SendActivations,5.939678430557251,4650.6484375,3072.140625
2025-07-27 22:34:35,server,SendActivations,5.622130632400513,4712.9140625,3072.140625
2025-07-27 22:34:40,server,SendActivations,8.659361600875854,4650.6328125,3072.140625
2025-07-27 22:34:45,server,SendActivations,4.497403144836426,4649.9375,3072.140625
2025-07-27 22:34:56,server,SendActivations,5.80903697013855,4714.77734375,3072.140625
2025-07-27 22:34:57,server,SendActivations,5.370985746383667,4652.21484375,3072.140625
2025-07-27 22:35:00,server,SendActivations,4.109822988510132,4708.1015625,3072.140625
2025-07-27 22:35:02,server,SendActivations,8.743179559707642,4717.55078125,3072.140625
2025-07-27 22:35:05,server,SendActivations,7.123265027999878,4717.859375,3072.140625
2025-07-27 22:35:05,server,SendActivations,6.619447469711304,4655.046875,3072.140625
2025-07-27 22:35:11,server,SendActivations,6.6870996952056885,4679.046875,3072.140625
2025-07-27 22:35:12,server,SendActivations,6.267445087432861,4667.0703125,3072.140625
2025-07-27 22:35:13,server,SendActivations,10.35022258758545,4667.07421875,3072.140625
2025-07-27 22:35:19,server,SendActivations,7.540776252746582,4679.07421875,3072.140625
2025-07-27 22:35:19,server,SendActivations,7.384636163711548,4679.07421875,3072.140625
2025-07-27 22:35:27,server,SendActivations,7.54558801651001,4702.578125,3072.140625
2025-07-27 22:35:28,server,SendActivations,8.325293779373169,4678.578125,3072.140625
2025-07-27 22:35:35,server,SendActivations,6.790577411651611,4667.0859375,3072.140625
2025-07-27 22:35:35,server,SendActivations,6.8768110275268555,4667.02734375,3072.140625
2025-07-27 22:35:40,server,SendActivations,8.612001657485962,4690.81640625,3072.140625
2025-07-27 22:35:43,server,SendActivations,7.455770015716553,4667.27734375,3072.140625
2025-07-27 22:35:47,server,SendActivations,5.882654905319214,4718.26171875,3072.140625
2025-07-27 22:35:48,server,SendActivations,7.5063018798828125,4719.07421875,3072.140625
2025-07-27 22:35:49,server,SendActivations,5.775331020355225,4655.76171875,3072.140625
2025-07-27 22:35:55,server,SendActivations,8.143946409225464,4655.76171875,3072.140625
2025-07-27 22:35:56,server,SendActivations,6.164822816848755,4655.76171875,3072.140625
2025-07-27 22:36:01,server,SendActivations,7.674299478530884,4665.01953125,3072.140625
2025-07-27 22:36:04,server,SendActivations,8.045137166976929,4677.0859375,3072.140625
2025-07-27 22:36:10,server,SendActivations,8.595937013626099,4763.9375,3072.140625
2025-07-27 22:36:11,server,SendActivations,6.174216270446777,4700.6953125,3072.140625
