timestamp,role,event,latency_sec,memory_mb,comm_kb
2025-07-27 22:33:25,client_3,SendActivations,13.054340362548828,4519.35546875,0.328125
2025-07-27 22:33:26,client_2,SendActivations,7.6894214153289795,4380.7109375,0.328125
2025-07-27 22:33:27,client_0,SendActivations,5.504215240478516,4415.1171875,0.328125
2025-07-27 22:33:27,client_4,SendActivations,5.028742790222168,4587.703125,0.328125
2025-07-27 22:33:28,client_1,SendActivations,5.109378099441528,5829.0234375,0.328125
2025-07-27 22:33:55,client_3,SendActivations,4.72899055480957,5021.56640625,0.328125
2025-07-27 22:33:55,client_2,SendActivations,4.315770864486694,4891.765625,0.328125
2025-07-27 22:33:56,client_0,SendActivations,3.2507359981536865,4860.14453125,0.328125
2025-07-27 22:33:57,client_4,SendActivations,3.3280246257781982,5086.3046875,0.328125
2025-07-27 22:33:57,client_1,SendActivations,3.7669239044189453,6307.43359375,0.328125
2025-07-27 22:34:23,client_2,SendActivations,5.234212398529053,4894.203125,0.328125
2025-07-27 22:34:27,client_0,SendActivations,5.775325059890747,4862.11328125,0.328125
2025-07-27 22:34:28,client_4,SendActivations,3.8771040439605713,5089.09765625,0.328125
2025-07-27 22:34:28,client_3,SendActivations,5.632318735122681,5024.6015625,0.328125
2025-07-27 22:34:30,client_1,SendActivations,4.583261013031006,6310.04296875,0.328125
2025-07-27 22:34:41,client_2,SendActivations,9.312978982925415,4893.953125,0.328125
2025-07-27 22:34:56,client_4,SendActivations,6.144952058792114,5088.8515625,0.328125
2025-07-27 22:34:58,client_0,SendActivations,5.845103025436401,4862.0,0.328125
2025-07-27 22:35:02,client_3,SendActivations,9.19830584526062,5024.6015625,0.328125
2025-07-27 22:35:06,client_1,SendActivations,6.945977210998535,6310.39453125,0.328125
2025-07-27 22:35:11,client_2,SendActivations,7.006575107574463,4894.203125,0.328125
2025-07-27 22:35:20,client_4,SendActivations,7.72313928604126,5089.1015625,0.328125
2025-07-27 22:35:28,client_0,SendActivations,8.200648307800293,4862.25,0.328125
2025-07-27 22:35:35,client_3,SendActivations,7.265458822250366,5024.6015625,0.328125
2025-07-27 22:35:41,client_1,SendActivations,9.146925926208496,6310.14453125,0.328125
2025-07-27 22:35:47,client_2,SendActivations,6.567934513092041,4852.578125,0.328125
2025-07-27 22:35:50,client_4,SendActivations,6.199972867965698,5089.10546875,0.328125
2025-07-27 22:36:01,client_0,SendActivations,8.105014085769653,4862.25,0.328125
2025-07-27 22:36:05,client_3,SendActivations,8.347820520401001,5024.6015625,0.328125
2025-07-27 22:36:14,client_1,SendActivations,8.042688608169556,6310.14453125,0.328125
2025-07-27 22:36:20,client_4,SendActivations,7.71475625038147,5089.10546875,0.328125
2025-07-27 22:36:21,client_2,SendActivations,7.971935987472534,4852.328125,0.328125
2025-07-27 22:36:34,client_3,SendActivations,7.258652687072754,4997.6953125,0.328125
2025-07-27 22:36:40,client_0,SendActivations,8.644277811050415,4832.27734375,0.328125
2025-07-27 22:36:46,client_1,SendActivations,3.7699477672576904,6309.89453125,0.328125
2025-07-27 22:36:48,client_4,SendActivations,6.104010343551636,5062.48046875,0.328125
2025-07-27 22:36:52,client_2,SendActivations,6.327288866043091,4852.078125,0.328125
2025-07-27 22:36:53,client_3,SendActivations,5.812062978744507,4997.6953125,0.328125
2025-07-27 22:36:58,client_0,SendActivations,5.969225168228149,4832.27734375,0.328125
2025-07-27 22:37:02,client_1,SendActivations,6.26737117767334,6268.08203125,0.328125
2025-07-27 22:37:04,client_4,SendActivations,5.746250152587891,5062.23046875,0.328125
2025-07-27 22:37:05,client_2,SendActivations,5.761721849441528,4852.078125,0.328125
2025-07-27 22:37:08,client_3,SendActivations,4.309234142303467,4997.6953125,0.328125
